plant_id,plant_name,origin_id,scientific_name,image_link
1,Venus flytrap,1,,
2,Corpse flower,2,,
3,Rafflesia arnoldii,3,,
4,Black bat flower,4,,
5,Pitcher plant,5,Sarracenia catesbaei,https://perenual.com/storage/image/upgrade_access.jpg
6,Wollemi pine,6,Wollemia nobilis,https://perenual.com/storage/image/upgrade_access.jpg
7,Bird of paradise,7,Heliconia schiedeana 'Fire and Ice',https://perenual.com/storage/image/upgrade_access.jpg
8,Cactus,8,Pereskia grandifolia,https://perenual.com/storage/image/upgrade_access.jpg
9,Dragon tree,9,,
10,Asclepias Curassavica,10,Asclepias curassavica,https://perenual.com/storage/species_image/1007_asclepias_curassavica/og/51757177616_7ca0baaa87_b.jpg
11,Brugmansia X Candida,11,,
12,Canna ‘Striata’,12,,
13,Colocasia Esculenta,13,Colocasia esculenta,https://perenual.com/storage/species_image/2015_colocasia_esculenta/og/24325097844_14719030a3_b.jpg
14,Cuphea ‘David Verity’,8,,
15,Euphorbia Cotinifolia,14,Euphorbia cotinifolia,https://perenual.com/storage/species_image/2868_euphorbia_cotinifolia/og/51952243235_061102bd05_b.jpg
16,Ipomoea Batatas,15,Ipomoea batatas,https://perenual.com/storage/image/upgrade_access.jpg
17,Manihot Esculenta ‘Variegata’,16,,
18,Musa Basjoo,17,Musa basjoo,https://perenual.com/storage/image/upgrade_access.jpg
19,Salvia Splendens,18,Salvia splendens,https://perenual.com/storage/image/upgrade_access.jpg
20,Anthurium,19,Anthurium andraeanum,https://perenual.com/storage/species_image/855_anthurium_andraeanum/og/49388458462_0ef650db39_b.jpg
21,Bird of Paradise,20,Heliconia schiedeana 'Fire and Ice',https://perenual.com/storage/image/upgrade_access.jpg
22,Cordyline Fruticosa,21,Cordyline fruticosa,https://perenual.com/storage/species_image/2045_cordyline_fruticosa/og/2560px-Cordyline_fruticosa_Rubra_1.jpg
23,Ficus,22,Ficus carica,https://perenual.com/storage/species_image/288_ficus_carica/og/52377169610_b7a247a378_b.jpg
24,Palm Trees,11,,
25,Dieffenbachia Seguine,23,Dieffenbachia seguine,https://perenual.com/storage/species_image/2468_dieffenbachia_seguine/og/24449059743_2aee995991_b.jpg
26,Spathiphyllum,24,Spathiphyllum (group),https://perenual.com/storage/image/upgrade_access.jpg
27,Croton,25,Codiaeum variegatum,https://perenual.com/storage/species_image/1999_codiaeum_variegatum/og/29041866364_2c535b2297_b.jpg
28,Aloe Vera,26,Aloe vera,https://perenual.com/storage/species_image/728_aloe_vera/og/52619084582_6ebcfe6a74_b.jpg
29,Ficus Elastica,27,Ficus elastica,https://perenual.com/storage/species_image/2961_ficus_elastica/og/533092219_8da73ba0d2_b.jpg
30,Sansevieria Trifasciata,18,Sansevieria trifasciata,https://perenual.com/storage/image/upgrade_access.jpg
31,Philodendron Hederaceum,28,Philodendron hederaceum,https://perenual.com/storage/image/upgrade_access.jpg
32,Schefflera Arboricola,29,Schefflera arboricola,https://perenual.com/storage/image/upgrade_access.jpg
33,Aglaonema Commutatum,30,Aglaonema commutatum,https://perenual.com/storage/species_image/625_aglaonema_commutatum/og/24798632751_3a039ecbc6_b.jpg
34,Monstera Deliciosa,31,Monstera deliciosa,https://perenual.com/storage/image/upgrade_access.jpg
35,Tacca Integrifolia,32,Tacca integrifolia,https://perenual.com/storage/image/upgrade_access.jpg
36,Psychopsis Papilio,33,,
37,Saintpaulia Ionantha,34,Saintpaulia ionantha,https://perenual.com/storage/image/upgrade_access.jpg
38,Gaillardia,35,Gaillardia aestivalis,https://perenual.com/storage/image/upgrade_access.jpg
39,Amaryllis,32,Hippeastrum (group),https://perenual.com/storage/image/upgrade_access.jpg
40,Caladium Bicolor,36,Caladium bicolor,https://perenual.com/storage/species_image/1457_caladium_bicolor/og/25575875658_d782fb76f1_b.jpg
41,Chlorophytum Comosum,37,Chlorophytum comosum 'Vittatum',https://perenual.com/storage/species_image/1847_chlorophytum_comosum_vittatum/og/2560px-Chlorophytum_comosum_27Vittatum27_kz02.jpg
42,Araucaria Heterophylla,38,Araucaria heterophylla,https://perenual.com/storage/species_image/917_araucaria_heterophylla/og/49833684212_2aff9d7b3c_b.jpg
43,Begonia,39,Begonia 'Art Hodes',
44,Medinilla Magnifica,17,Medinilla magnifica,https://perenual.com/storage/image/upgrade_access.jpg
45,Calliandra Haematocephala,40,Calliandra haematocephala,https://perenual.com/storage/species_image/1477_calliandra_haematocephala/og/52063600268_834ebc0538_b.jpg
46,Zamioculcas Zamiifolia,41,Zamioculcas zamiifolia,https://perenual.com/storage/image/upgrade_access.jpg
47,Crassula Ovata,42,Crassula ovata,https://perenual.com/storage/species_image/2193_crassula_ovata/og/33253726791_980c738a1e_b.jpg
48,Epipremnum Aureum,43,Epipremnum aureum,https://perenual.com/storage/species_image/2773_epipremnum_aureum/og/2560px-Epipremnum_aureum_31082012.jpg
